number_of_weights_flipped,percentage_of_weights_flipped,Magnitude,Gradient,alpha_0.25,alpha_0.5,alpha_0.75,Layer
1029,0.001,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
5148,0.005,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
8237,0.008,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
10297,0.01,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
15446,0.015,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
20594,0.02,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
30892,0.03,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
51486,0.05,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
102973,0.1,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
205946,0.2,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
1029734,1.0,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.embeddings.weight
