number_of_weights_flipped,percentage_of_weights_flipped,Magnitude,Gradient,alpha_0.25,alpha_0.5,alpha_0.75,Layer
0,0.001,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.layers.44.mixer.conv1d.weight
0,0.005,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.layers.44.mixer.conv1d.weight
1,0.008,2.8593397699296474,2.8573274041215577,2.864981714683243,2.8651103339617765,2.8651103339617765,backbone.layers.44.mixer.conv1d.weight
1,0.01,2.8593397699296474,2.8573274041215577,2.864981714683243,2.8651103339617765,2.8651103339617765,backbone.layers.44.mixer.conv1d.weight
2,0.015,2.859716328481833,2.8563990158339343,2.865213388732717,2.8650316347049762,2.8650316347049762,backbone.layers.44.mixer.conv1d.weight
3,0.02,2.8607982620596886,2.8560467759768167,2.866922172111801,2.864536094061936,2.8648501939411406,backbone.layers.44.mixer.conv1d.weight
4,0.03,2.8614077754318714,2.8560467759768167,2.866921030720578,2.8645958640907385,2.8648501939411406,backbone.layers.44.mixer.conv1d.weight
8,0.05,2.8702014312148094,2.8565861470997334,2.866756147070776,2.8665343067314053,2.8660877921913244,backbone.layers.44.mixer.conv1d.weight
16,0.1,2.8729596324265003,2.847822447617849,2.874328309071215,2.854654389997072,2.8563156230540216,backbone.layers.44.mixer.conv1d.weight
32,0.2,2.8916691057384014,2.86962212001284,2.9005530085744735,2.883974514731878,2.8626830565778514,backbone.layers.44.mixer.conv1d.weight
163,1.0,2.92230320100983,2.9211861826479435,2.942227209670634,2.9449372864976713,2.961592234840876,backbone.layers.44.mixer.conv1d.weight
