number_of_weights_flipped,percentage_of_weights_flipped,Magnitude,Gradient,alpha_0.25,alpha_0.5,alpha_0.75,Layer
0,0.001,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.layers.46.mixer.A_log
3,0.005,2.858642773081859,2.8570065100987754,2.9010775336736363,2.8656414858902557,2.865156803855413,backbone.layers.46.mixer.A_log
5,0.008,2.90356902902325,2.857762448489666,2.944366519058807,2.898385731177994,2.8656276678737207,backbone.layers.46.mixer.A_log
6,0.01,2.9113589599728584,2.857976023107767,2.948917195766787,2.901196086859401,2.865799329854265,backbone.layers.46.mixer.A_log
9,0.015,2.9102270416915417,2.857105548183123,2.9563410451140584,2.9487368444853193,2.8669333910640282,backbone.layers.46.mixer.A_log
13,0.02,3.599848778297504,2.8553917792936168,3.767247459556483,2.957432551323613,2.864395273788066,backbone.layers.46.mixer.A_log
19,0.03,12.26911548525095,2.8541985812286534,13.032756746267971,10.33086360134656,2.9424197528935685,backbone.layers.46.mixer.A_log
32,0.05,14.28950995951891,2.8522809284428754,14.51936991848523,13.178921274595623,12.893816539909267,backbone.layers.46.mixer.A_log
65,0.1,14.673940673470497,3.9523012787103653,14.31793989350524,14.243263490894172,14.365562826470484,backbone.layers.46.mixer.A_log
131,0.2,32.036293836931385,5.48686180015405,27.55984454456764,26.40188380253466,19.687853451016583,backbone.layers.46.mixer.A_log
655,1.0,21.52912137657404,16.180571384727955,20.117134633848938,20.184645707094216,21.266014143786855,backbone.layers.46.mixer.A_log
