Layer,Attack_type,percentage_of_weights_flipped,number_of_weights_flipped,Model_loss,Layer_type,loss_fn
backbone.embeddings.weight,Magnitude,0.001,1029,2.8569481670856476,embeddings.weight,0.002776431649257189
backbone.embeddings.weight,Magnitude,0.01,10297,2.8569481670856476,embeddings.weight,0.00027745442042203047
backbone.embeddings.weight,Magnitude,0.1,102973,2.8569481670856476,embeddings.weight,2.7744633710639174e-05
backbone.embeddings.weight,Magnitude,1.0,1029734,2.8569481670856476,embeddings.weight,2.774452593665595e-06
backbone.embeddings.weight,Magnitude,5.0,5148672,2.8569481670856476,embeddings.weight,5.548903031860735e-07
backbone.embeddings.weight,Magnitude,10.0,10297344,2.8569481670856476,embeddings.weight,2.7744515159303675e-07
backbone.embeddings.weight,Magnitude,50.0,51486720,2.8569481670856476,embeddings.weight,5.548903031860735e-08
backbone.embeddings.weight,Gradient,0.001,1029,2.8569481670856476,embeddings.weight,0.002776431649257189
backbone.embeddings.weight,Gradient,0.01,10297,2.8569481670856476,embeddings.weight,0.00027745442042203047
backbone.embeddings.weight,Gradient,0.1,102973,2.8569481670856476,embeddings.weight,2.7744633710639174e-05
backbone.embeddings.weight,Gradient,1.0,1029734,2.8569481670856476,embeddings.weight,2.774452593665595e-06
backbone.embeddings.weight,Gradient,5.0,5148672,2.8569481670856476,embeddings.weight,5.548903031860735e-07
backbone.embeddings.weight,Gradient,10.0,10297344,2.8569481670856476,embeddings.weight,2.7744515159303675e-07
backbone.embeddings.weight,Gradient,50.0,51486720,2.8569481670856476,embeddings.weight,5.548903031860735e-08
backbone.embeddings.weight,Hybrid,0.001,1029,2.8569481670856476,embeddings.weight,0.002776431649257189
backbone.embeddings.weight,Hybrid,0.01,10297,2.8569481670856476,embeddings.weight,0.00027745442042203047
backbone.embeddings.weight,Hybrid,0.1,102973,2.8569481670856476,embeddings.weight,2.7744633710639174e-05
backbone.embeddings.weight,Hybrid,1.0,1029734,2.8569481670856476,embeddings.weight,2.774452593665595e-06
backbone.embeddings.weight,Hybrid,5.0,5148672,2.8569481670856476,embeddings.weight,5.548903031860735e-07
backbone.embeddings.weight,Hybrid,10.0,10297344,2.8569481670856476,embeddings.weight,2.7744515159303675e-07
backbone.embeddings.weight,Hybrid,50.0,51486720,2.8569481670856476,embeddings.weight,5.548903031860735e-08
backbone.layers.0.norm.weight,Magnitude,0.1,2,3.1029544696211815,norm.weight,1.5514772348105907
