Layer,Attack_type,percentage_of_weights_flipped,number_of_weights_flipped,Model_loss
backbone.embeddings.weight,Magnitude,0.001,1029,2.8569481670856476
backbone.embeddings.weight,Magnitude,0.01,10297,2.8569481670856476
backbone.embeddings.weight,Magnitude,0.1,102973,2.8569481670856476
backbone.embeddings.weight,Magnitude,1.0,1029734,2.8569481670856476
backbone.embeddings.weight,Magnitude,5.0,5148672,2.8569481670856476
backbone.embeddings.weight,Magnitude,10.0,10297344,2.8569481670856476
backbone.embeddings.weight,Magnitude,50.0,51486720,2.8569481670856476
backbone.embeddings.weight,Gradient,0.001,1029,2.8569481670856476
backbone.embeddings.weight,Gradient,0.01,10297,2.8569481670856476
backbone.embeddings.weight,Gradient,0.1,102973,2.8569481670856476
backbone.embeddings.weight,Gradient,1.0,1029734,2.8569481670856476
backbone.embeddings.weight,Gradient,5.0,5148672,2.8569481670856476
backbone.embeddings.weight,Gradient,10.0,10297344,2.8569481670856476
backbone.embeddings.weight,Gradient,50.0,51486720,2.8569481670856476
backbone.embeddings.weight,Hybrid,0.001,1029,2.8569481670856476
backbone.embeddings.weight,Hybrid,0.01,10297,2.8569481670856476
backbone.embeddings.weight,Hybrid,0.1,102973,2.8569481670856476
backbone.embeddings.weight,Hybrid,1.0,1029734,2.8569481670856476
backbone.embeddings.weight,Hybrid,5.0,5148672,2.8569481670856476
backbone.embeddings.weight,Hybrid,10.0,10297344,2.8569481670856476
backbone.embeddings.weight,Hybrid,50.0,51486720,2.8569481670856476
backbone.layers.0.norm.weight,Magnitude,0.001,0,2.8569481670856476
backbone.layers.0.norm.weight,Magnitude,0.01,0,2.8569481670856476
backbone.layers.0.norm.weight,Magnitude,0.1,2,3.1029544696211815
backbone.layers.0.norm.weight,Magnitude,1.0,20,4.396172384421031
backbone.layers.0.norm.weight,Magnitude,5.0,102,7.089438714087009
backbone.layers.0.norm.weight,Magnitude,10.0,204,8.106740792592367
backbone.layers.0.norm.weight,Magnitude,50.0,1024,9.474843094746271
backbone.layers.0.norm.weight,Gradient,0.001,0,2.8569481670856476
backbone.layers.0.norm.weight,Gradient,0.01,0,2.8569481670856476
backbone.layers.0.norm.weight,Gradient,0.1,2,3.6814729856948056
backbone.layers.0.norm.weight,Gradient,1.0,20,6.182702985902627
backbone.layers.0.norm.weight,Gradient,5.0,102,7.448301541308562
backbone.layers.0.norm.weight,Gradient,10.0,204,8.196117967367172
backbone.layers.0.norm.weight,Gradient,50.0,1024,8.734817743301392
backbone.layers.0.norm.weight,Hybrid,0.001,0,2.8569481670856476
backbone.layers.0.norm.weight,Hybrid,0.01,0,2.8569481670856476
backbone.layers.0.norm.weight,Hybrid,0.1,2,3.7400498998661837
backbone.layers.0.norm.weight,Hybrid,1.0,20,5.331277661025524
backbone.layers.0.norm.weight,Hybrid,5.0,102,7.125047239164512
backbone.layers.0.norm.weight,Hybrid,10.0,204,7.38569129506747
backbone.layers.0.norm.weight,Hybrid,50.0,1024,8.346104597051939
backbone.layers.0.mixer.A_log,Magnitude,0.001,0,2.8569481670856476
backbone.layers.0.mixer.A_log,Magnitude,0.01,6,2.8541501549383006
backbone.layers.0.mixer.A_log,Magnitude,0.1,65,2.8667253789802394
backbone.layers.0.mixer.A_log,Magnitude,1.0,655,3.4722061144808927
backbone.layers.0.mixer.A_log,Magnitude,5.0,3276,4.698025735716025
backbone.layers.0.mixer.A_log,Magnitude,10.0,6553,5.153814415136973
backbone.layers.0.mixer.A_log,Magnitude,50.0,32768,5.124610436459382
backbone.layers.0.mixer.A_log,Gradient,0.001,0,2.8569481670856476
backbone.layers.0.mixer.A_log,Gradient,0.01,6,2.8597891653577485
backbone.layers.0.mixer.A_log,Gradient,0.1,65,3.2896017096936703
backbone.layers.0.mixer.A_log,Gradient,1.0,655,4.309430782993634
backbone.layers.0.mixer.A_log,Gradient,5.0,3276,4.964552481969197
backbone.layers.0.mixer.A_log,Gradient,10.0,6553,5.094321615993977
backbone.layers.0.mixer.A_log,Gradient,50.0,32768,5.721810474991798
backbone.layers.0.mixer.A_log,Hybrid,0.001,0,2.8569481670856476
backbone.layers.0.mixer.A_log,Hybrid,0.01,6,2.8548736460506916
backbone.layers.0.mixer.A_log,Hybrid,0.1,65,2.866883526245753
backbone.layers.0.mixer.A_log,Hybrid,1.0,655,3.4500951978067556
backbone.layers.0.mixer.A_log,Hybrid,5.0,3276,4.862626105546951
backbone.layers.0.mixer.A_log,Hybrid,10.0,6553,5.233737071355184
backbone.layers.0.mixer.A_log,Hybrid,50.0,32768,5.285053871572018
backbone.layers.0.mixer.D,Magnitude,0.001,0,2.8569481670856476
backbone.layers.0.mixer.D,Magnitude,0.01,0,2.8569481670856476
backbone.layers.0.mixer.D,Magnitude,0.1,4,2.8841815715034804
backbone.layers.0.mixer.D,Magnitude,1.0,40,3.151396222412586
backbone.layers.0.mixer.D,Magnitude,5.0,204,3.2093856434027352
backbone.layers.0.mixer.D,Magnitude,10.0,409,3.229438732067744
backbone.layers.0.mixer.D,Magnitude,50.0,2048,3.2514592396716275
backbone.layers.0.mixer.D,Gradient,0.001,0,2.8569481670856476
backbone.layers.0.mixer.D,Gradient,0.01,0,2.8569481670856476
backbone.layers.0.mixer.D,Gradient,0.1,4,2.85663740336895
backbone.layers.0.mixer.D,Gradient,1.0,40,2.86275448401769
backbone.layers.0.mixer.D,Gradient,5.0,204,2.9561227411031723
backbone.layers.0.mixer.D,Gradient,10.0,409,2.961889870464802
backbone.layers.0.mixer.D,Gradient,50.0,2048,3.235710434615612
backbone.layers.0.mixer.D,Hybrid,0.001,0,2.8569481670856476
backbone.layers.0.mixer.D,Hybrid,0.01,0,2.8569481670856476
backbone.layers.0.mixer.D,Hybrid,0.1,4,2.885394693662723
backbone.layers.0.mixer.D,Hybrid,1.0,40,3.173835001885891
backbone.layers.0.mixer.D,Hybrid,5.0,204,3.2330403650800386
backbone.layers.0.mixer.D,Hybrid,10.0,409,3.254016543428103
